Country,Government_Type,Capital,Mean_Temp,Real_GDP_PPP_billion_USD,Real_GDP_per_Capita_USD,Real_GDP_Growth_Rate_percent,Youth_Unemployment_Rate_percent,Population_Growth_Rate,Median_Age,Total_Literacy_Rate,electricity_access_percent,electricity_capacity_per_capita,internet_users_per_100,broadband_subs_per_100,mobile_subs_per_100,population_density,road_density_per_1000km2,rail_density_per_1000km2,airports_per_million,co2_per_capita_tonnes,co2_per_gdp_tonnes_per_billion,fossil_intensity_index,water_share,coastline_per_1000km2
AFGHANISTAN,Theocracy,Kabul,14.24,60.8,1500.0,-20.74,20.2,2.26,19.5,37.3%,97.0,0.019779770102484953,17.893554912299532,0.0677253210854414,58.62560726251983,60.15056498474465,53.51333118685126,,1.1725121452503968,201187.7904882909,129819.07894736843,-0.18888048154328643,0.0,0.0
ALBANIA,Republic,Tirana,14.29,40.82,14500.0,8.52,27.8,0.19,34.3,98.4%,100.0,0.8160249108450065,73.86460176791427,16.4087423963147,84.97060085677779,113.20610993503175,143.9886123074677,15.4755821592817,,0.967236164573299,0.07349338559529642,-0.2013448712779321,0.046959788507026576,13.212643258632017
ALGERIA,Republic,Algiers,24.18,487.72,11000.0,3.5,31.9,1.27,28.9,81.4%,99.0,0.48469116343261437,69.79695743355248,8.46871016250403,105.07231514407643,18.79231066363247,43.66555543426235,1.6878416619782177,3.3289842053775027,3.373668557127536,0.3096038710735668,-0.09446259838183546,0.0,0.41902138772494063
AMERICAN SAMOA,Republic,Pago Pago,27.92,658.0,11200.0,-1.87,,1.74,27.2,,59.0,1.05333930972658,40.643209323173465,,5.042581801882564,199.19642857142858,1075.892857142857,,,7956073.509636934,539.5136778115501,,0.0,517.8571428571429
ANDORRA,Democracy,Andorra la Vella,9.14,1798.0,37900.0,5.52,36.9,0.11,46.2,100%,100.0,1355.3259699536668,51691.86128141527,18941.009500631815,66463.87887864464,182.6239316239316,574.7863247863247,0.0,0.0,3276.079936350447,0.1557285873192436,1.745921687491598,0.0,0.0
ANGOLA,Republic,Luanda,21.71,203.87,5900.0,1.1,18.5,3.34,15.9,71.1%,48.0,0.20410612951773452,32.100024454382265,0.6409165921580169,42.5995505829823,28.861218416619877,20.855057351407716,2.2146466672014116,2.834807354412979,0.5280523503318295,0.09319664492078285,-0.1889049530712487,0.0,1.2833881447020132
ANGUILLA,Democracy,The Valley,,175.4,12200.0,-8.5,,1.77,35.7,,100.0,,68.43125949997379,26.206824257036534,136.27548613658996,209.65934065934067,1923.076923076923,,4926.882960322869,,,,0.0,670.3296703296703
ANTIGUA AND BARBUDA,Democracy,Saint John’s,28.23,1.78,19100.0,5.27,,1.13,32.7,99%,100.0,1.1528342973130092,87.97012484111579,7.882627673935106,177.3591226635399,229.09480812641084,2641.083521444695,,29.55985377725665,7183044.467873366,409550.5617977528,,0.0,345.372460496614
ARGENTINA,Republic,Buenos Aires,15.56,986.13,21500.0,10.4,29.9,0.8,32.4,99%,100.0,0.9594428980902451,83.97350709850684,20.53020765136139,126.69130633112842,17.035852434875707,102.78475092173392,6.528324362642462,24.40915736349956,4.139690132825497,0.19571456096052245,-0.15328284982193188,0.015720759602934828,1.8230051631715685
ARMENIA,Democracy,Yerevan,8.87,39.61,14200.0,5.7,36.1,0.4,36.6,99.8%,100.0,1.2154196710638787,74.00243083934213,14.399260510971395,120.41379804094288,105.98485976669149,273.02060064532145,24.323653512037726,3.6800485498768687,2.0072992090237465,0.15147689977278464,-0.1977682851607394,0.05177688867968934,0.0
